﻿Stedtype;StedID;Stedtekst;GeoZone;x-koordinat;y-koordinat;Kommune;Region;Medie;Vandområde;Dato;Måling nr;Undersøgelsestype;Teknisk anvisning;Dataejer;Link;Naturtype 3260 tilstede;Strækning nummer;Transekt-start, GeoZone;Transekt-start, x-koordinat;Transekt-start, y-koordinat;Transekt-slut, GeoZone;Transekt-slut, x-koordinat;Transekt-slut, y-koordinat;Transektundersøgelse;Kvadrat nummer;Dybde (cm);Arts tom;Taxonkode;Artkode;Art latin;Art;Dækningsgrad;Kvalitetsmærke,
Station;21001664;GUDENÅ, ÅBRO;32;553359;6249451;Randers;Region Midtjylland;Vandløb;Gudenåen;09-09-2025;1;Vegetation, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/d648f8da-01ec-446c-bf9f-2a8f6fa33c57;;1;32;553489,5909050977;6249356,337617217;32;553409,6376145564;6249418,537640412;4;48;;Nej;2900100030030;6419;Butomus umbellatus;Brudelys;1 - 1-5%;1,
Station;21001664;GUDENÅ, ÅBRO;32;553359;6249451;Randers;Region Midtjylland;Vandløb;Gudenåen;09-09-2025;1;Vegetation, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/d648f8da-01ec-446c-bf9f-2a8f6fa33c57;;1;32;553489,5909050977;6249356,337617217;32;553409,6376145564;6249418,537640412;5;5;;Nej;2503500060030;2386;Nuphar lutea;Gul åkande;1 - 1-5%;1,
Station;21001664;GUDENÅ, ÅBRO;32;553359;6249451;Randers;Region Midtjylland;Vandløb;Gudenåen;09-09-2025;1;Vegetation, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/d648f8da-01ec-446c-bf9f-2a8f6fa33c57;;1;32;553489,5909050977;6249356,337617217;32;553409,6376145564;6249418,537640412;2;12;;Nej;2705550030060;4078;Myriophyllum spicatum;Aks-tusindblad;2 - 6-25%;1,
Station;21001664;GUDENÅ, ÅBRO;32;553359;6249451;Randers;Region Midtjylland;Vandløb;Gudenåen;09-09-2025;1;Vegetation, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/d648f8da-01ec-446c-bf9f-2a8f6fa33c57;;1;32;553489,5909050977;6249356,337617217;32;553409,6376145564;6249418,537640412;5;45;;Nej;2900500040380;6495;Stuckenia pectinata;Børstebladet vandaks;1 - 1-5%;1,
Station;21001664;GUDENÅ, ÅBRO;32;553359;6249451;Randers;Region Midtjylland;Vandløb;Gudenåen;09-09-2025;1;Vegetation, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/d648f8da-01ec-446c-bf9f-2a8f6fa33c57;;1;32;553489,5909050977;6249356,337617217;32;553409,6376145564;6249418,537640412;1;18;;Nej;2900500030630;6466;Potamogeton perfoliatus;Hjertebladet vandaks;2 - 6-25%;1,
Station;21001664;GUDENÅ, ÅBRO;32;553359;6249451;Randers;Region Midtjylland;Vandløb;Gudenåen;09-09-2025;1;Vegetation, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/d648f8da-01ec-446c-bf9f-2a8f6fa33c57;;1;32;553489,5909050977;6249356,337617217;32;553409,6376145564;6249418,537640412;6;3;;Nej;2900100030030;6419;Butomus umbellatus;Brudelys;1 - 1-5%;1,
Station;21001664;GUDENÅ, ÅBRO;32;553359;6249451;Randers;Region Midtjylland;Vandløb;Gudenåen;09-09-2025;1;Vegetation, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/d648f8da-01ec-446c-bf9f-2a8f6fa33c57;;1;32;553489,5909050977;6249356,337617217;32;553409,6376145564;6249418,537640412;4;8;;Nej;2907500060030;7411;Spirodela polyrhiza;Stor andemad;1 - 1-5%;1,
Station;21001664;GUDENÅ, ÅBRO;32;553359;6249451;Randers;Region Midtjylland;Vandløb;Gudenåen;09-09-2025;1;Vegetation, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/d648f8da-01ec-446c-bf9f-2a8f6fa33c57;;1;32;553489,5909050977;6249356,337617217;32;553409,6376145564;6249418,537640412;3;44;;Nej;2907500060030;7411;Spirodela polyrhiza;Stor andemad;1 - 1-5%;1,
Station;21001664;GUDENÅ, ÅBRO;32;553359;6249451;Randers;Region Midtjylland;Vandløb;Gudenåen;09-09-2025;1;Vegetation, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/d648f8da-01ec-446c-bf9f-2a8f6fa33c57;;1;32;553489,5909050977;6249356,337617217;32;553409,6376145564;6249418,537640412;2;6;;Nej;2900500030630;6466;Potamogeton perfoliatus;Hjertebladet vandaks;1 - 1-5%;1,
Station;21001664;GUDENÅ, ÅBRO;32;553359;6249451;Randers;Region Midtjylland;Vandløb;Gudenåen;09-09-2025;1;Vegetation, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/d648f8da-01ec-446c-bf9f-2a8f6fa33c57;;1;32;553489,5909050977;6249356,337617217;32;553409,6376145564;6249418,537640412;1;21;;Nej;2907650030090;7419;Sparganium emersum;Enkelt pindsvineknop;3 - 26-50%;1,
Station;21001664;GUDENÅ, ÅBRO;32;553359;6249451;Randers;Region Midtjylland;Vandløb;Gudenåen;09-09-2025;1;Vegetation, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/d648f8da-01ec-446c-bf9f-2a8f6fa33c57;;1;32;553489,5909050977;6249356,337617217;32;553409,6376145564;6249418,537640412;2;46;;Nej;1510010200500;73;Cladophora glomerata;Dusk-vandhår;1 - 1-5%;1,
Station;21001664;GUDENÅ, ÅBRO;32;553359;6249451;Randers;Region Midtjylland;Vandløb;Gudenåen;09-09-2025;1;Vegetation, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/d648f8da-01ec-446c-bf9f-2a8f6fa33c57;;1;32;553489,5909050977;6249356,337617217;32;553409,6376145564;6249418,537640412;4;9;;Nej;2907500060030;7411;Spirodela polyrhiza;Stor andemad;1 - 1-5%;1,
Station;21001664;GUDENÅ, ÅBRO;32;553359;6249451;Randers;Region Midtjylland;Vandløb;Gudenåen;09-09-2025;1;Vegetation, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/d648f8da-01ec-446c-bf9f-2a8f6fa33c57;;1;32;553489,5909050977;6249356,337617217;32;553409,6376145564;6249418,537640412;4;18;;Nej;2907500060030;7411;Spirodela polyrhiza;Stor andemad;1 - 1-5%;1,
Station;21001664;GUDENÅ, ÅBRO;32;553359;6249451;Randers;Region Midtjylland;Vandløb;Gudenåen;09-09-2025;1;Vegetation, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/d648f8da-01ec-446c-bf9f-2a8f6fa33c57;;1;32;553489,5909050977;6249356,337617217;32;553409,6376145564;6249418,537640412;3;1;;Nej;2907500030090;7409;Lemna minor;Liden andemad;1 - 1-5%;1,
Station;21001664;GUDENÅ, ÅBRO;32;553359;6249451;Randers;Region Midtjylland;Vandløb;Gudenåen;09-09-2025;1;Vegetation, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/d648f8da-01ec-446c-bf9f-2a8f6fa33c57;;1;32;553489,5909050977;6249356,337617217;32;553409,6376145564;6249418,537640412;2;15;;Nej;2900500030630;6466;Potamogeton perfoliatus;Hjertebladet vandaks;2 - 6-25%;1,
Station;21001664;GUDENÅ, ÅBRO;32;553359;6249451;Randers;Region Midtjylland;Vandløb;Gudenåen;09-09-2025;1;Vegetation, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/d648f8da-01ec-446c-bf9f-2a8f6fa33c57;;1;32;553489,5909050977;6249356,337617217;32;553409,6376145564;6249418,537640412;3;11;;Nej;2900500030630;6466;Potamogeton perfoliatus;Hjertebladet vandaks;2 - 6-25%;1,
Station;21001664;GUDENÅ, ÅBRO;32;553359;6249451;Randers;Region Midtjylland;Vandløb;Gudenåen;09-09-2025;1;Vegetation, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/d648f8da-01ec-446c-bf9f-2a8f6fa33c57;;1;32;553489,5909050977;6249356,337617217;32;553409,6376145564;6249418,537640412;5;31;;Ja;;;;;;1,
Station;21001664;GUDENÅ, ÅBRO;32;553359;6249451;Randers;Region Midtjylland;Vandløb;Gudenåen;09-09-2025;1;Vegetation, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/d648f8da-01ec-446c-bf9f-2a8f6fa33c57;;1;32;553489,5909050977;6249356,337617217;32;553409,6376145564;6249418,537640412;2;52;;Nej;2507600480240;2562;Rorippa amphibia;Vandpeberrod;2 - 6-25%;1,
Station;21001664;GUDENÅ, ÅBRO;32;553359;6249451;Randers;Region Midtjylland;Vandløb;Gudenåen;09-09-2025;1;Vegetation, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/d648f8da-01ec-446c-bf9f-2a8f6fa33c57;;1;32;553489,5909050977;6249356,337617217;32;553409,6376145564;6249418,537640412;2;41;;Nej;1510010200500;73;Cladophora glomerata;Dusk-vandhår;1 - 1-5%;1,
Station;21001664;GUDENÅ, ÅBRO;32;553359;6249451;Randers;Region Midtjylland;Vandløb;Gudenåen;09-09-2025;1;Vegetation, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/d648f8da-01ec-446c-bf9f-2a8f6fa33c57;;1;32;553489,5909050977;6249356,337617217;32;553409,6376145564;6249418,537640412;3;25;;Ja;;;;;;1,
Station;21001664;GUDENÅ, ÅBRO;32;553359;6249451;Randers;Region Midtjylland;Vandløb;Gudenåen;09-09-2025;1;Vegetation, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/d648f8da-01ec-446c-bf9f-2a8f6fa33c57;;1;32;553489,5909050977;6249356,337617217;32;553409,6376145564;6249418,537640412;2;20;;Nej;2900500030630;6466;Potamogeton perfoliatus;Hjertebladet vandaks;3 - 26-50%;1,
