stancode,latin,danish
1,Cyanophycera indet.,blågrønne trådalger
2,Nostocaceae,Skyfaldfamilien
3,Tolypotrix,-
4,Tolypotrix distorta,-
5,Nostoc,-
6,Nostoc zetterstedtii,Søbrombær
7,Nostoc pruniforme,Søblomme
8,Trådalger,-
9,Batrachospermaceae,Paddelegfamilien
10,Batrachospermum,-
11,Batrachospermum moniliforme,-
12,Batrachospermum vagum,-
13,Hildenbrandiaceae,-
14,Hildenbrandia,-
15,Hildenbrandia rivularis,Bæk-hildenbrandia
16,Gigartinaceae,-
17,Chondrus,-
18,Chondrus crispus,Carrageentang
19,Rhodomelaceae,Ulvehaletangfamilien
20,Polysiphonia,-
21,Lemaneaceae,-
22,Lemanea,-
23,Lemanea fluviatilis,Strømtråd
24,Ceramiaceae,-
25,Ceramium,Klotang
26,Ceramium tenuicorne,Fin klotang
27,Ceramium nodulosum,-
28,Ceramium strictum,-
29,Ectocarpaceae,Vatalgefamilien
30,Ectocarpus,-
31,Ectocarpus siliculosus,Tynd vatalge
32,Pilayella,-
33,Pilayella littoralis,-
34,Fucaceae,Klørtangfamilien
35,Fucus,Klørtang
36,Fucus vesiculosus,Blæretang
37,Xanthophyceae indet.,-
38,Vaucheria,-
39,Chlorophyceae indet.,-
40,Hydrodictyaceae,-
41,Hydrodictyon,-
42,Hydrodictyon reticulatum,Vandnet
43,Stigeoclonium,-
44,Stigeocloniumceae,-
45,Ulotrichaceae,-
46,Ulotrix,-
47,Ulvaceae,-
48,Enteromorpha,-
49,Enteromorpha flexuosa,-
50,Enteromorpha intestinalis,-
51,Ulva,-
52,Ulva lactuca,-
53,Ulvaria,-
54,Ulvaria fusca,-
55,Chaetophoraceae,-
56,Chaetophora,-
57,Chaetophora elegans,-
58,Draparnaldia,-
59,Draparnaldia mutabilis,-
60,Zygnemataceae,-
61,Spirogyra,Slimtrådslægten
62,Mougeotia,-
63,Oedogoniaceae,-
64,Oedogonium,-
65,Siphonocladales,-
66,Cladophoraceae,-
67,Chaetomorpha,-
68,Chaetomorpha linum,Almindelig børstetråd
69,Cladophora,-
70,Cladophora fracta,Spinkel vandhår
71,Cladophora sauteri,-
72,Cladophora aegagropila,-
73,Cladophora glomerata,Dusk-vandhår
74,Cladophora sericea,Silke-vandhår
75,Rhizoclonium,-
76,Characeae,-
77,Chara,Kransnålalgeslægten
78,Chara aspera,Ru kransnål
79,Chara aspera var. aspera,-
80,Chara baltica,Baltisk kransnål
81,Chara hispida,Stivtornet kransnål
82,Chara hispida var. hispida,-
83,Chara hispida var. major,-
84,Chara globularis,Skør kransnål
85,Chara virgata,Busket kransnål
86,Chara globularis var. annulata,-
87,Chara globularis var. globularis,-
88,Chara virgata var. bulbillifera,-
89,Chara virgata var. verrucosa,-
90,Chara rudis,-
91,Chara tomentosa,Tyk kransnål
92,Chara vulgaris,Almindelig kransnål
93,Chara vulgaris var. longibracteata,-
94,Chara vulgaris var. papillata,-
95,Chara vulgaris var. contraria,-
96,Chara vulgaris var. denudata,-
97,Chara vulgaris var. hispidula,-
98,Chara vulgaris var. vulgaris,-
99,Chara canescens,Grå kransnål
100,Chara connivens,Glat kransnål
101,Chara muscosa,-
102,Lamprothamnium,-
103,Lamprothamnium papulosum,Rævehaletråd
104,Nitella,Glanstrådslægten
105,Nitella flexilis,Bugtet glanstråd
106,Nitella flexilis var. flexilis,-
107,Nitella flexilis var. spanioclema,-
108,Nitella translucens,Grov glanstråd
109,Nitella mucronata,Brodspidset glanstråd
110,Nitella capillaris,Vår-glanstråd
111,Nitellopsis,-
112,Nitellopsis obtusa,Stjernetråd
113,Tolypella,-
114,Tolypella nidifica,Almindelig redetråd
